,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,-241.0,-131.0,-206.0,-292.0,-195.0,-177.0,2000
1,-234.0,-205.0,-154.0,-186.0,-171.0,-109.0,4000
2,-105.0,-109.0,-98.0,-110.0,-107.0,-116.0,6000
3,-78.0,-91.0,-210.0,-104.0,-79.0,-94.0,8000
4,-101.0,-80.0,-93.0,-84.0,-102.0,-99.0,10000
5,-89.0,-84.0,-91.0,-113.0,-121.0,-106.0,12000
6,-89.0,-75.0,-85.0,-66.0,-105.0,-79.0,14000
7,-90.0,-77.0,-75.0,-98.0,-73.0,-64.0,16000
8,-89.0,-88.0,-90.0,-69.0,-101.0,-88.0,18000
9,-73.0,-78.0,-80.0,-94.0,-107.0,-69.0,20000
10,-73.0,-65.0,-73.0,-96.0,-63.0,-91.0,22000
11,-92.0,-77.0,-98.0,-72.0,-73.0,-70.0,24000
12,-89.0,-65.0,-123.0,-76.0,-79.0,-81.0,26000
13,-76.0,-200.0,-194.0,-93.0,-81.0,-92.0,28000
14,-77.0,-78.0,-68.0,-96.0,-78.0,-89.0,30000
15,-71.0,-93.0,-72.0,-75.0,-77.0,-77.0,32000
16,-78.0,-172.0,-83.0,-78.0,-89.0,-72.0,34000
17,-75.0,-69.0,-92.0,-77.0,-95.0,-71.0,36000
18,-92.0,-92.0,-72.0,-78.0,-98.0,-78.0,38000
19,-89.0,-71.0,-90.0,-95.0,-77.0,-76.0,40000
20,-78.0,-63.0,-90.0,-113.0,-78.0,-81.0,42000
21,-84.0,-101.0,-84.0,-85.0,-62.0,-77.0,44000
22,-90.0,-94.0,-78.0,-70.0,-77.0,-77.0,46000
23,-91.0,-112.0,-78.0,-71.0,-91.0,-73.0,48000
24,-70.0,-83.0,-80.0,-80.0,-88.0,-79.0,50000
25,-75.0,-75.0,-70.0,-62.0,-96.0,-72.0,52000
26,-78.0,-91.0,-86.0,-89.0,-80.0,-109.0,54000
27,-68.0,-82.0,-86.0,-77.0,-71.0,-95.0,56000
28,-80.0,-100.0,-72.0,-75.0,-105.0,-93.0,58000
29,-81.0,-71.0,-96.0,-109.0,-71.0,-122.0,60000
30,-77.0,-69.0,-85.0,-84.0,-94.0,-72.0,62000
31,-76.0,-76.0,-68.0,-72.0,-76.0,-70.0,64000
32,-75.0,-92.0,-86.0,-85.0,-135.0,-100.0,66000
33,-91.0,-77.0,-69.0,-84.0,-73.0,-70.0,68000
34,-79.0,-78.0,-87.0,-85.0,-118.0,-74.0,70000
35,-77.0,-77.0,-80.0,-71.0,-88.0,-91.0,72000
36,-70.0,-98.0,-81.0,-76.0,-76.0,-104.0,74000
37,-91.0,-102.0,-85.0,-76.0,-74.0,-80.0,76000
38,-71.0,-77.0,-83.0,-81.0,-79.0,-70.0,78000
39,-76.0,-78.0,-79.0,-96.0,-68.0,-94.0,80000
40,-77.0,-73.0,-63.0,-81.0,-63.0,-71.0,82000
41,-89.0,-70.0,-71.0,-76.0,-80.0,-79.0,84000
42,-114.0,-127.0,-73.0,-78.0,-115.0,-80.0,86000
