,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,14.0,10.0,16.0,15.0,33.0,17.0,200
1,26.0,14.0,11.0,15.0,23.0,40.0,400
2,21.0,20.0,19.0,20.0,28.0,35.0,600
3,11.0,31.0,10.0,13.0,11.0,15.0,800
4,14.0,10.0,11.0,36.0,12.0,25.0,1000
5,14.0,9.0,22.0,22.0,21.0,21.0,1200
6,15.0,15.0,17.0,9.0,23.0,15.0,1400
7,27.0,11.0,19.0,15.0,12.0,21.0,1600
8,26.0,10.0,27.0,15.0,15.0,12.0,1800
9,13.0,16.0,9.0,12.0,18.0,13.0,2000
10,10.0,21.0,19.0,13.0,20.0,15.0,2200
11,44.0,24.0,15.0,11.0,30.0,13.0,2400
12,20.0,27.0,20.0,29.0,11.0,18.0,2600
13,12.0,10.0,13.0,25.0,11.0,15.0,2800
14,13.0,9.0,13.0,10.0,13.0,9.0,3000
15,12.0,9.0,11.0,17.0,11.0,22.0,3200
16,12.0,18.0,31.0,23.0,14.0,11.0,3400
17,12.0,10.0,14.0,14.0,19.0,14.0,3600
18,18.0,19.0,12.0,11.0,14.0,24.0,3800
19,12.0,15.0,16.0,12.0,12.0,11.0,4000
20,15.0,24.0,15.0,44.0,17.0,10.0,4200
21,34.0,14.0,12.0,14.0,16.0,12.0,4400
22,14.0,13.0,17.0,17.0,10.0,9.0,4600
23,9.0,16.0,20.0,15.0,11.0,9.0,4800
24,8.0,17.0,26.0,18.0,9.0,12.0,5000
25,12.0,8.0,14.0,12.0,14.0,16.0,5200
26,10.0,17.0,14.0,10.0,10.0,15.0,5400
27,10.0,64.0,19.0,15.0,14.0,11.0,5600
28,9.0,13.0,13.0,11.0,9.0,19.0,5800
29,15.0,10.0,20.0,11.0,18.0,13.0,6000
30,10.0,11.0,12.0,10.0,18.0,8.0,6200
31,14.0,11.0,10.0,12.0,12.0,9.0,6400
32,15.0,18.0,17.0,12.0,24.0,11.0,6600
33,13.0,17.0,13.0,11.0,11.0,13.0,6800
34,11.0,10.0,9.0,14.0,13.0,10.0,7000
35,13.0,11.0,11.0,19.0,11.0,18.0,7200
36,15.0,17.0,14.0,15.0,33.0,20.0,7400
37,14.0,27.0,17.0,12.0,13.0,15.0,7600
38,9.0,34.0,11.0,20.0,11.0,17.0,7800
39,14.0,19.0,17.0,13.0,11.0,9.0,8000
40,13.0,12.0,14.0,12.0,22.0,13.0,8200
41,11.0,14.0,58.0,12.0,10.0,12.0,8400
42,10.0,16.0,12.0,14.0,15.0,10.0,8600
43,12.0,11.0,14.0,10.0,9.0,12.0,8800
44,22.0,15.0,10.0,14.0,14.0,14.0,9000
45,13.0,15.0,26.0,10.0,20.0,16.0,9200
46,14.0,22.0,10.0,14.0,25.0,11.0,9400
47,14.0,10.0,16.0,13.0,12.0,12.0,9600
48,11.0,11.0,12.0,14.0,11.0,16.0,9800
49,11.0,12.0,14.0,17.0,20.0,14.0,10000
