,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,-1740.3069429636348,-1780.3652163023307,-1854.238809976831,-1558.4554727050372,-1476.7740945940886,-1596.6630396982407,0
1,-1340.7816533211897,-1458.0429129468234,-1347.202243433333,-949.1875270978445,-966.9712873095679,-1591.1371715594294,2000
2,-1180.5649269950873,-1271.994769075742,-875.6735806947067,-1721.8610085853354,-954.9716774361397,-970.3030949281199,4000
3,-1219.3724324272089,-1328.1028926910205,-1343.036491813122,-1465.7864866275197,-1673.422313329731,-1303.5609109458192,6000
4,-1629.8182804083747,-1659.8870796653082,-1591.9097611891743,-1181.6581606604948,-1300.533082433421,-1253.6000211535259,8000
5,-916.2157649278805,-1680.2780298990456,-1337.5985223504238,-1175.2388496521787,-1343.8366510529834,-1157.6507008887631,10000
6,-1201.552569862193,-1204.2883834774962,-1165.6598822819235,-1177.618788178723,-1047.8544491609646,-1134.8997406034869,12000
7,-1509.5393520254572,-1116.9314507720105,-982.3997681753842,-1496.8630917385235,-1166.9744155446958,-1019.4702505517192,14000
8,-1108.040675377767,-1054.00425973289,-1113.6955218118999,-866.6712423774381,-1460.8144353673692,-1079.1613577961366,16000
9,-1422.226453458391,-1622.6839272629604,-1536.5152056352467,-1111.3852081329012,-1526.2825677046003,-1623.0810027635177,18000
10,-1489.0466125254675,-1401.7440393791203,-1400.5263525565706,-1653.3664837599197,-1259.6478530966294,-1240.6514896159806,20000
11,-1202.050760177982,-1619.6484510110322,-1162.7223600976117,-1100.5646294355195,-1356.784167413297,-1346.2403090009943,22000
12,-1253.460130684977,-1113.2033412123144,-1349.8754410574106,-1297.154619008575,-1321.9304588320442,-1189.7759184078645,24000
13,-1098.4957989548627,-1107.2624796818936,-1332.3923657132266,-1214.0846827609737,-1236.3947521850143,-1364.968321373474,26000
14,-1310.2080005420698,-1512.5146629574297,-1199.583871866515,-1531.1049700873207,-1593.7948713312783,-1468.6014577198105,28000
15,-1542.3101534316809,-1234.3511510868566,-1199.9755031366471,-746.1645354445175,-1177.4476588392604,-1303.436841263093,30000
16,-1035.5986876250927,-1168.3224931050497,-1500.370833069899,-1485.5370665862392,-1497.4942672238512,-1500.3117554170628,32000
17,-1491.5754595441508,-1514.1319112224373,-1497.60873507623,-1483.1572005049181,-1467.7543305603663,-1467.4542805782608,34000
18,-1317.4847155923794,-1375.4762098703663,-1227.1292914055762,-1300.2930119015848,-1428.4470718672262,-940.2842026262158,36000
19,-1287.5442929880403,-1410.097625599406,-1432.8863362356487,-1379.3342292234897,-1528.1977650812787,-1315.471645990166,38000
20,-1036.394384701441,-1517.9822595877904,-1328.2241477530433,-1541.157897990757,-1345.7801583216892,-1402.7328169329642,40000
21,-1208.9048335393848,-1103.379612097887,-1172.528305901129,-1505.947361899966,-1276.8445817765808,-1204.6523166795214,42000
22,-1042.3711892922486,-1514.5328334467729,-1533.3123829122221,-1071.3003818764403,-1188.1862992121087,-1117.7888948930051,44000
23,-1188.5803953046602,-1338.0217990463868,-1510.6164015305183,-1324.2339139150315,-1097.040655352187,-1198.4488933201333,46000
24,-1175.9685095198013,-1184.8138597698337,-879.7049123535019,-1517.531092975761,-1160.4395835177083,-1392.6436946050485,48000
25,-1277.3863854025915,-1192.6594665882835,-1498.3677674998082,-1170.081252580135,-1185.0579149012206,-1180.3173524926926,50000
26,-1215.0302387602317,-1433.4454345567985,-1084.001622818575,-1311.9097926105749,-1173.3112450339856,-1029.4716439840213,52000
27,-1350.4342922959547,-1028.2330199600187,-1521.2099344004407,-1197.7989957580278,-1495.9654511147526,-1023.3325856803758,54000
28,-938.3478963373602,-1087.162339058997,-1142.8734738079372,-1313.6659762530478,-1523.6794133213693,-1034.1133714926866,56000
29,-1127.6501968011314,-1188.136314775485,-1054.2543249847172,-1080.266759892773,-1045.1034955217724,-1233.176618416369,58000
30,-1043.8942869748623,-936.2419739596895,-1060.230647072649,-1516.2273341755902,-1082.7188443231041,-1515.9769432569328,60000
31,-1043.391450043773,-1138.1065081215193,-1083.6107837694003,-1060.4497683788911,-1041.2265199659723,-1055.8194687086384,62000
32,-1047.1564444770968,-1090.5924359699595,-1084.4201944349375,-1247.278675320008,-1083.9485866271946,-1068.7715522135966,64000
33,-1125.6524278719473,-1161.4268489978995,-1491.9094139429562,-1499.8575780278036,-1048.551945002779,-1213.9498215136964,66000
34,-1124.6171804353496,-1075.0731891515977,-1246.446964989827,-1149.443678842024,-1160.3916747442067,-1149.298393861942,68000
35,-1040.7115258963747,-1106.0291321347,-974.2039233491853,-1065.0380073320803,-1056.2633797912683,-1063.496548227797,70000
36,-1497.8056150123548,-1070.4898162124794,-1038.8724750384208,-1097.639739831607,-1024.52877233039,-897.4817027766637,72000
37,-1099.9370181256809,-1080.2862146914988,-1027.5257925632077,-1092.1941166421684,-1228.7173482582011,-1082.113147020125,74000
38,-1037.578352330415,-893.5034698275376,-1092.1345463114023,-1433.0123809367058,-1004.1458614555788,-885.690863389217,76000
39,-1047.4942186220685,-1010.1902512832103,-980.0974715061595,-923.5386916034976,-1142.6310139577306,-1011.8531655477303,78000
40,-1217.8955252600701,-930.4094427184172,-910.3595789579844,-1081.4051193173023,-980.399216381055,-1068.0204154547423,80000
41,-997.3824431712397,-968.1351068071837,-946.9987059110563,-1014.8803876713831,-1035.0974664983285,-1081.1617988462956,82000
42,-1056.3336936518836,-985.9927339483748,-1104.488962599267,-1039.3898174143683,-1049.2179639038613,-999.239070090886,84000
43,-1178.7700651698012,-1187.1360306363008,-1484.8549382767221,-1205.7324483015173,-1155.3679840061013,-1176.5838707727694,86000
44,-1109.9981142130155,-1036.345138043867,-1244.3095148675031,-1015.0179549618305,-1149.5208514572792,-1000.0939630445876,88000
45,-1083.035688069174,-988.9044068043783,-888.1632099899452,-1098.0913114139908,-1064.9880488075046,-1231.0268034210753,90000
46,-988.9388458329425,-895.641762345034,-1026.288824111916,-872.1785841309569,-1023.0318268107552,-999.0837875331456,92000
47,-1422.6049162961813,-1107.8763848903257,-1019.4170242004669,-1040.083878074582,-1127.0247059480707,-1020.6117429674742,94000
48,-1084.6018108430196,-1202.892682819419,-1000.540140945178,-1137.9266512595689,-1013.9732381150404,-1171.0554436291775,96000
49,-1033.9999086453483,-1152.9085100049006,-1028.8860410608559,-1107.3800396778945,-904.7692002625538,-1019.2155521684041,98000
50,-1093.302181179357,-1134.00222428661,-1162.2286089301124,-1182.2968848578237,-1086.435958463927,-1026.9152923118772,100000
51,-1117.1516999641026,-1071.9232062236663,-1144.7631246914984,-1206.7568409987325,-1217.9855414387332,-1253.138018293856,102000
52,-1084.4480907707211,-1007.94790413103,-1191.579552316381,-1158.8251682885787,-1087.088425317633,-1217.0499043550947,104000
53,-1023.8347294402892,-1116.5680808291827,-1097.6359255095763,-1004.5438192277494,-1107.7669499684503,-1011.289446481494,106000
54,-1126.0008250864284,-946.6755064945329,-867.3156531241153,-1025.044697165188,-1050.2401124448927,-993.0399433419092,108000
55,-1190.567359277231,-1094.3674742672224,-1073.5364126739446,-1021.9513085372455,-966.7247336650033,-967.3514735699111,110000
56,-1082.1748776555517,-1145.2651592294783,-1055.5545895571165,-1243.0292349280028,-1121.72352071266,-1027.3268728863613,112000
57,-900.8417964701923,-979.2468819209781,-944.313548299614,-905.6545072692246,-1290.269141245321,-1132.685196835421,114000
58,-1163.9469987659168,-1190.2428009722157,-1068.406615418802,-1064.817718704958,-1109.4819037582201,-1022.9019028651521,116000
59,-1049.8773324669198,-1010.0397066494932,-1011.3263910723948,-882.907173874057,-1092.793496747558,-1234.8041304644457,118000
60,-1179.068486961697,-1018.0327675966049,-1145.134041836386,-1038.9750499140378,-1048.1407117814224,-1023.9714425183604,120000
61,-1123.9654806405276,-1132.9629713868958,-1055.152357136094,-1034.0980221153502,-1029.1019971484222,-1177.99376642068,122000
62,-1165.8667987956956,-1262.4027758789932,-1148.7934672554973,-1140.5039439504253,-1099.234853187323,-1103.9842836661346,124000
63,-1098.3255859299009,-1069.1860596844158,-1117.7186066075885,-1037.1489514843324,-1012.8044389275608,-1024.5870997500824,126000
64,-861.4363127311168,-994.1181657565967,-1026.6330050519432,-1069.98369526107,-894.2307010198246,-1002.0520185817476,128000
65,-888.9827687482209,-883.0057338316353,-996.5872518391519,-1091.0674731749634,-957.5965311920261,-1108.5246183163829,130000
66,-892.7851206095354,-925.7588203336377,-860.4851603089755,-1061.0456593436884,-968.619281765243,-963.4009828608602,132000
67,-1061.4734640202362,-1057.7189626170002,-897.8914432561629,-940.2129573763496,-851.705008407663,-1242.4361989189824,134000
68,-987.6124401497877,-924.8138241963726,-900.8948036285345,-913.7541909874165,-865.2701101447233,-1116.33963749272,136000
69,-988.1973146784645,-1009.3730854519739,-862.7860459566122,-983.5680628152937,-876.5423962932508,-860.9174124698628,138000
70,-1001.5362193202249,-903.3815728040239,-1025.2327456734024,-1015.4874035097185,-1099.5861236526086,-1003.6182491836552,140000
71,-1176.730027163238,-967.83689158609,-964.7977311473455,-935.5704324526994,-1027.0387543872775,-978.2010626054125,142000
72,-940.3842788908815,-916.9155117956374,-960.8010528230582,-1004.3447303124123,-1089.194230647197,-1000.6079219689619,144000
73,-863.4709623743076,-753.3058912696999,-807.6725832713526,-887.5674381133705,-1120.6587885907786,-893.8451171875714,146000
74,-983.3840673624144,-1142.5022954822718,-828.6371901117866,-992.8193085470975,-970.5713339095265,-1013.7525351075997,148000
75,-976.6713942004542,-1023.5150177452675,-929.8183476138449,-1081.571005326132,-1114.7923545617048,-869.9039212986827,150000
76,-968.2195487782564,-1118.0996541963138,-954.4095546503175,-1044.5287946268675,-992.9195545309803,-865.3844687187549,152000
77,-900.2611876239922,-983.6685965891309,-878.2001769628954,-993.7011986809347,-953.6529518653506,-1053.4224706811228,154000
