,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,-1397.6952155923077,-753.6777719585435,-1430.157172731196,-1619.6216678629446,-966.5283007754888,-1557.5469072241003,256
1,-1151.715407885213,-1110.6190895564541,-1167.5851970883282,-1117.3547353814427,-944.2408457548972,-1086.049314537684,512
2,-1259.9037871315293,-951.3130087787521,-1182.169030035867,-1793.5698489838044,-1360.7323184664228,-1194.1270222011758,768
3,-1755.8223006238077,-1331.821182839326,-1154.6482836511789,-1817.2220232324555,-1726.2837536045527,-1744.162216141793,1024
4,-1569.5841296515873,-1658.0797149051202,-1800.8459775969256,-970.5582795520961,-1066.2959626856598,-1450.7823660303018,1280
5,-1009.3451597076056,-1112.0634026398136,-868.7041158265758,-1022.4052216722566,-1318.283494477477,-1011.2123112770546,1536
6,-1762.6171171112726,-1164.2878697053475,-1278.6562695997093,-1438.3095654740678,-1456.8522286571292,-1595.6288262202615,1792
7,-1568.5165188638032,-1628.783952820338,-1392.1756951277334,-1350.3181382074886,-1524.4507114447304,-1426.1222060659777,2048
8,-1345.6826957785515,-1598.8866123302598,-1590.2030975484754,-1618.1069462107214,-1301.8836724070616,-1239.9029589304055,2304
9,-1525.82196618174,-1267.1586986440368,-1492.3149967463023,-1433.4401747910672,-1521.4756586116628,-1286.3746415920198,2560
10,-1689.4135325895747,-1201.1597543612054,-1396.0520965523094,-1456.6743494012958,-1763.174715054177,-1594.6776135083198,2816
11,-1394.2524861736301,-1549.0371444430427,-1594.4498705648443,-1540.877578601728,-1388.8113154219132,-1645.5248040260108,3072
12,-1569.7658887372038,-1795.5686766318008,-1629.52935606387,-1624.288691961692,-1753.566097351242,-1751.6094647693994,3328
13,-1530.575018631246,-1635.9726909361348,-1360.0762149823993,-1523.0844494996504,-1459.504510380169,-1537.4493718323397,3584
14,-1267.4194029341456,-1755.8539067857216,-1401.917861429314,-1117.1478398248053,-1326.0456777998033,-1101.5706730443167,3840
15,-1074.2608305775714,-1350.2652378176106,-1113.2725390845344,-1408.601157386436,-929.6699891934436,-1224.1414184450416,4096
16,-1168.401975578674,-1543.0594615081695,-1265.6890708283856,-1399.5984866909355,-1533.588713803615,-1775.8791507639235,4352
17,-1280.083985437277,-1511.3746569504715,-1318.4602763800917,-1209.6714054270856,-1510.8671665706127,-1189.0156598604458,4608
18,-966.7774119014377,-1316.2035395378668,-889.0325632787627,-1306.334913709654,-1474.4534673519463,-1237.0901970371715,4864
19,-1094.7232666539842,-1188.5721115881931,-1125.690117673399,-1083.3996949875182,-1032.0264897767715,-1062.3788249461052,5120
20,-1386.9559968901017,-876.735658915831,-918.4424969572555,-1062.0395344728731,-1085.4893350963148,-1405.2702084530345,5376
21,-1603.0751899557115,-907.208398359096,-1100.0222597279162,-1556.1279870528654,-1012.6473064513845,-1431.3897963215059,5632
22,-1159.4020742004054,-1399.0463781382475,-1537.2507259862034,-1111.444227595566,-1370.685869837262,-1068.56265624667,5888
23,-1244.491627387973,-895.73970623556,-1349.3827565038237,-1077.1827394990914,-1203.3278138822488,-1664.687971622103,6144
24,-874.7032887476317,-1279.7687110007569,-1382.6513592377712,-1419.510803479652,-1336.6340055516528,-992.8056384738584,6400
25,-1003.1102048888016,-1195.6472056316882,-1093.5570457843032,-1009.1116415824146,-849.192736997457,-997.5057847937759,6656
26,-1372.8833331358035,-1096.9396369154326,-1026.3143283135819,-964.405432349734,-1517.4326347576273,-992.2556550093605,6912
27,-1575.64964572557,-1413.7701137489266,-1022.9294197968125,-1254.7954731077784,-1021.0909318871144,-1180.5177687096277,7168
28,-1478.089594270965,-1319.6294804287509,-1395.0878381147613,-797.3102069368864,-1326.027731822554,-1346.4394976002288,7424
29,-1183.687485535317,-1342.1234018007626,-1196.792720982501,-989.993103087402,-1100.2549272738954,-1085.710851753312,7680
30,-862.1811361061892,-1481.7456276929472,-1684.5991089341278,-1023.3930175502366,-1712.0554707571418,-1744.454872902357,7936
31,-1091.0556497018322,-1327.7904685384199,-1031.6484519130329,-1521.8230719623318,-986.4846900810702,-1545.161524499003,8192
32,-1122.751608797522,-1091.6248404948558,-1130.2285958843224,-1412.1296844269502,-904.1917169152863,-882.4147304221616,8448
33,-1344.4012993764902,-1112.4084123608297,-972.8630874520753,-1081.8326503029382,-1500.1617192252124,-769.6934597010396,8704
34,-1196.7034270575168,-1000.8905918416527,-1178.1136257916974,-1311.9205523367125,-1384.8470210213056,-1040.8585955528197,8960
35,-1383.80078181907,-1321.9550441357921,-1331.5344726300295,-1091.2667121823079,-1258.3526918892626,-1223.2869985086,9216
36,-1352.2204584974575,-1630.2879730107754,-1304.0298182930637,-1062.6401535614814,-1170.9450682446413,-1184.670099874608,9472
37,-1367.3107159756094,-1095.2058443790802,-1051.0984563195595,-1617.0105600626268,-971.2524038416052,-1186.3900565196025,9728
38,-988.9937900475318,-861.7753601764875,-1318.6428508994456,-986.0020807948156,-1321.0292890663054,-1072.528731225155,9984
39,-1502.328624883469,-933.6293649902104,-983.3538775942363,-925.2778382925643,-1036.0569536848604,-1659.2249539660374,10240
40,-1236.7902006911904,-1263.134549973473,-1264.6783661111858,-1067.3468688105884,-1609.49110310718,-971.7145077214882,10496
41,-1087.9696321984495,-990.0635010576361,-1508.1555919129926,-1212.8341786446774,-1140.2376060054576,-890.1573527403705,10752
42,-1172.6530363820991,-1563.7913073843376,-1258.0755381444803,-1172.5859252211574,-1110.7830115252898,-1271.7089031105525,11008
43,-1199.0117301152388,-1465.6879487615429,-1320.3063460447847,-1185.6586904844032,-1112.7315482016202,-1330.7011723297112,11264
44,-1035.9683165152219,-1348.1094761326133,-1670.865231704199,-1147.889391634695,-1179.4085773385318,-1508.069263080056,11520
45,-1174.1007172799564,-1543.4651112365043,-909.5344934426946,-880.7459041918055,-1251.6514695919363,-980.9680233700692,11776
46,-1095.7200154142604,-1618.8667953625231,-1403.4730879986319,-1275.9704695074877,-1389.252198991785,-1638.4708038581582,12032
47,-975.1188531193342,-1737.2329776044132,-1535.0400541792574,-1527.2504733499338,-1451.8013566883944,-1188.4733835887516,12288
48,-987.4909529969754,-1303.830756579612,-1406.718113311068,-1111.910671522548,-1491.0863103092124,-981.9041657705941,12544
49,-1194.994275551875,-1724.483888918433,-1400.2264964567644,-1391.5640396749047,-1338.7388921139107,-1054.6190975049062,12800
50,-1087.5370890704942,-833.6348056566026,-1443.9683938570636,-1257.2114630964015,-1551.3118080631,-972.4205270043817,13056
51,-1440.6154424284002,-1015.4130016960398,-1469.8201078889892,-1194.0730798764985,-1076.8802174630896,-1032.1536623878083,13312
52,-1500.5818263661213,-1481.102816214934,-1047.4331862796553,-981.3938389534484,-1063.3094350673025,-1264.4355402277677,13568
53,-1105.994748622057,-1105.8193028021878,-1171.1972454047695,-1029.1669135748782,-1252.9011125342502,-1598.4484836763938,13824
54,-1177.2157836432166,-988.2269828147209,-994.5861032778635,-912.5118455117081,-1090.014086775154,-1475.7533853755356,14080
55,-1141.265846161347,-880.6537565767154,-1440.0500323115496,-1167.6047695753964,-1601.2521994977403,-946.9187445843831,14336
56,-1371.4113179269748,-1069.7254967007927,-1099.7723036585883,-978.5929357296432,-869.6693650635336,-1219.7198702917378,14592
57,-1177.6608317398393,-1011.4882799481051,-1300.3512187649546,-982.0260544333812,-886.5316072298839,-1481.5126309820143,14848
58,-1018.3087599568121,-989.5226803762599,-1451.5922444286775,-1094.382452925032,-1618.2618328333076,-1167.6274351953127,15104
59,-1196.4877389066899,-1077.5001414785356,-1562.8624146301918,-970.626477088452,-922.5308032854356,-1636.943632733469,15360
60,-1216.167472943458,-1275.7597868170656,-1620.3296333236558,-1396.8763667266733,-1082.2014495939407,-1294.4738236722728,15616
61,-1137.6619793961322,-1469.3485661825193,-1169.147972759481,-1001.0342548235934,-1721.7885005840265,-1043.2033980445008,15872
62,-997.6278271842234,-1066.5891962645446,-1393.2890927598626,-1712.356338344571,-1510.8011633744666,-1172.7858448235081,16128
63,-1073.2841104199142,-1096.777763092064,-1590.24808877726,-751.0515665487493,-995.079375536088,-861.1915471578802,16384
64,-984.6933343675686,-874.0382790723462,-782.7484575133963,-1177.7269959946511,-1465.3687674588655,-995.2559266556909,16640
65,-959.8350631288498,-1481.373523230883,-893.0804396197956,-1278.1750529095652,-963.4972753770082,-1189.0403717602308,16896
66,-1335.003150204951,-1063.8014957266437,-1252.9744642403555,-1590.2317761126908,-1098.7983033557207,-1690.540376292658,17152
67,-946.820308166641,-878.2790748726673,-1089.4142986552345,-1422.6597207016728,-1606.2547900165032,-1174.8196933283912,17408
68,-1039.0948933040252,-1191.0852390451232,-1093.8007220082463,-1017.8909377064166,-844.7650003021126,-1367.192281769252,17664
69,-1496.0984855818517,-1259.23594702224,-1351.6853758896868,-1534.4144577277277,-1570.086333867771,-881.1749617810069,17920
70,-1598.9811628639502,-1304.374327097204,-1090.3030130785073,-955.7918675307438,-881.0247780931275,-1043.241252107346,18176
71,-1706.0311378027984,-1560.9080673541966,-867.855219288685,-998.3138034565803,-1096.2400735057272,-1456.607779574745,18432
72,-1002.2792404709672,-1387.0679654183975,-1479.150535665123,-1360.445628896162,-1535.8103606215707,-1270.9637226177056,18688
73,-989.1630467734133,-918.5101016349124,-1525.150553449784,-1064.3168767762504,-1437.5333356589158,-1330.5441815322392,18944
74,-983.847206205781,-1258.1040448025365,-1005.6619684395415,-981.4010414864703,-1403.444459687741,-1224.0865554634906,19200
75,-1583.6077455710752,-1490.8903186163138,-1217.9772850974653,-895.917950913096,-1291.419818954757,-1155.3942445114108,19456
76,-1606.8577277228221,-1074.9929762965796,-1031.1620073721058,-1298.508126711321,-1070.18527829512,-997.9615525680113,19712
77,-1277.9840886687855,-1359.67852573244,-1662.1316309334147,-999.0662410047089,-937.0433151217394,-887.0841495654605,19968
78,-1071.5804755846775,-1110.7653001129895,-869.3226737809904,-1304.8498159572518,-1012.4411191363344,-1171.203390383578,20224
79,-1146.6867560330215,-1034.8491565295951,-1022.7178230786512,-1282.8053963546856,-1136.5255546093163,-1240.622185369527,20480
80,-1745.8268222841425,-1086.0258205780021,-1170.7814622777842,-997.3647703567788,-1009.1070894764083,-1005.3763371251733,20736
81,-1568.2035581146386,-1560.7661112248873,-1341.84122351641,-1129.1119680809043,-1131.2863916463536,-868.1900837253546,20992
82,-1067.1542583383311,-896.1949042568417,-1516.5259380173798,-905.0877990633836,-1492.786421214109,-1272.3292421761903,21248
83,-1101.5889274828892,-1502.9578705772303,-1107.8249997223938,-903.223673985091,-1096.2290774219318,-1295.2252707503299,21504
84,-1016.0691602471385,-1126.591131840018,-1643.534734357757,-1194.0259141714096,-990.1282489907478,-1620.513007045518,21760
85,-1640.8873268378688,-1278.9998723596443,-1278.6772715389018,-769.9601135020939,-846.3176936582474,-871.0022303758116,22016
86,-1466.2867625215215,-1195.9642389598955,-1167.8346145453597,-1624.0430194731894,-1347.2617225537747,-1092.4720756823785,22272
87,-1371.7070547269707,-1482.4909870541142,-1449.7104002583594,-1003.490722415501,-1080.833864152567,-1163.8519292913243,22528
88,-1696.4256698488623,-1431.0657512916985,-1524.3677769431322,-1038.7080976295954,-887.686663751569,-1652.09650280882,22784
89,-1185.4439215483897,-1719.100226991208,-1004.6237365312459,-1211.9375390924242,-898.5347997136558,-1322.4037733693685,23040
90,-1199.1538605251376,-971.5448445870031,-1593.7802117518324,-1581.245227774421,-1215.2450147805241,-1024.1055301200417,23296
91,-1698.6852287596691,-1071.4005380249016,-1049.2760800493543,-1599.659435065364,-1000.6520059903257,-1049.260624168774,23552
92,-1009.3318002185122,-969.5595889569978,-915.4990527875237,-1038.274587637414,-1212.7902122786768,-1335.7236821873432,23808
93,-1189.1994628641578,-993.4669031528127,-1605.5684509415037,-1064.8534561444844,-877.9733546084173,-992.1933788481566,24064
94,-937.3645752307038,-1456.9469224207048,-765.9134259316593,-967.438209316103,-1521.1825837236033,-1733.5519367192212,24320
95,-955.9234452661337,-983.4728810267798,-949.7907811448143,-958.4342025112189,-1233.630128055149,-1288.9693298801888,24576
96,-969.558874230617,-1012.2855980325135,-958.5016010201876,-751.0253271142052,-1451.1719454123827,-1256.7580802446728,24832
97,-1579.8730692967388,-1139.3741958357853,-979.247742669943,-1158.0175805870158,-1061.7255851999155,-1133.0576108448884,25088
98,-1540.4281348719376,-1074.9730081049108,-1616.982348093027,-1212.0142158961778,-937.9285938725747,-989.794691369783,25344
99,-1262.7485056468618,-1009.4357870305103,-1357.4436609778481,-1449.6685910037609,-1623.261037336172,-1229.1847300984969,25600
100,-1489.7902936356434,-932.5752518590753,-1533.735961189494,-969.508590171957,-984.7128159111958,-1376.3742993788944,25856
101,-1709.6748143268555,-1480.0666292044566,-1551.7519204006123,-1560.5890418396336,-865.3823830779738,-1402.7049046901213,26112
102,-996.030355580105,-1298.288571558182,-1749.2404705357792,-1137.9934713138846,-1432.9401247053213,-1358.2623237718956,26368
103,-1357.530446872384,-1152.6438568047272,-1086.9289570333117,-1729.7233674728018,-1755.8920780482506,-1267.6100992850004,26624
104,-1324.2185648981028,-885.2365113294686,-996.7879788674061,-1431.870314036009,-949.9437772307748,-1627.594824668442,26880
105,-996.1340737434722,-1728.7403444062807,-1285.2700691838113,-1287.8075356673362,-1009.7337650000364,-1307.366311875214,27136
106,-1014.8915278423073,-1082.3003382562567,-1556.0473894758331,-1021.4865981941172,-1430.377367507371,-1404.1709346231366,27392
107,-1486.5599385727915,-850.9056114958648,-1469.499772487878,-873.48644084196,-906.5440479464205,-858.7098661838314,27648
108,-1402.7327044220574,-1022.1594021461752,-1308.4708111318341,-1372.1231340825418,-1643.6005520650044,-1078.6025379211112,27904
109,-1006.3814271606429,-1699.082709931169,-1076.0130264831303,-970.7579269643134,-768.096604223871,-838.5903097900856,28160
110,-1297.6697163350066,-1381.5531503898178,-1508.0270254600377,-1069.707531953304,-1494.7006830967318,-917.6499240388797,28416
111,-1090.0529553032536,-1369.0721957262908,-1311.7940812270717,-986.6556847582746,-976.9835712958818,-1516.8209711802979,28672
112,-1053.6373384069127,-1480.6243234548333,-924.4320507435888,-882.9463317704011,-1438.3032050691143,-1476.9197392374704,28928
113,-919.3193060052977,-1148.4598234359828,-973.7752008285921,-1207.4846975566497,-1499.383114392779,-1084.9169868324343,29184
114,-1438.2499683538695,-1163.1215041173764,-1503.0808857257414,-1473.0288929161802,-1000.246569750089,-1239.8947960455218,29440
115,-1076.6487178658308,-1608.7193923800153,-1340.4917245508957,-1401.3258164531726,-1424.4488897081878,-970.7884125769103,29696
116,-911.2631796376661,-1491.5496109562703,-742.1796847135455,-1544.5273315844363,-1416.276938860663,-1360.211052772874,29952
117,-885.8162950827219,-1534.4995395648298,-1335.9434745169267,-950.31536713342,-1232.2270883051128,-884.7673443982768,30208
118,-1042.9567463749968,-1039.9318741641691,-1082.776100503124,-977.4459861517493,-1051.3529625955694,-1110.3109182489998,30464
119,-988.0730080563718,-975.2815774786839,-1680.440135797516,-1639.303581206614,-983.5832127667952,-1225.3999062493062,30720
120,-1019.6577473486774,-1088.386712964034,-1635.026059649255,-1471.5907481990891,-866.6694202653713,-878.8552858217016,30976
121,-1183.569712115954,-901.596818573005,-1577.7173903735395,-1394.1762239489985,-1373.7438450828865,-1368.768689915291,31232
122,-1362.6160658910808,-893.4955290507587,-979.31557385189,-1335.7341065228652,-1618.5589409168624,-1276.7374319999203,31488
123,-1178.8139532262808,-788.2162636084556,-1073.0426050877363,-1207.5245914280858,-1067.7741346340492,-1574.8194085377775,31744
124,-1540.5302994577048,-1387.6710709381193,-1082.517682897537,-865.4661402728459,-807.0079862668979,-1227.7547292949876,32000
125,-827.9929790944357,-932.009203735078,-890.0888526896389,-1014.0097151319924,-1106.2657243280166,-1669.2981585048312,32256
126,-1142.747203997521,-1593.3747219416853,-1342.5008201780117,-983.8975738403877,-1116.6865479416797,-1298.4156038766243,32512
127,-946.844364180195,-1028.3311203280107,-1060.8791461751382,-991.5759144369569,-1335.428443673617,-974.3537917892947,32768
128,-1175.8687102764923,-1005.9623943664751,-1475.3339854905898,-940.2155554723088,-967.9380376406292,-1043.019547042558,33024
129,-1502.2383006740556,-913.2270373722931,-1292.129916831886,-977.4897117731207,-1145.5885151755315,-1102.4623150829223,33280
130,-1006.0222477273467,-1252.0638270453662,-1176.3168512545835,-1710.3013404243538,-1306.788258238714,-1062.4430706933647,33536
131,-1209.8227939773767,-1377.1343893366084,-1331.6625020991742,-1054.0857609987263,-999.9062503789481,-1461.6329949780693,33792
132,-992.738889134786,-1349.3731320037332,-1223.3096407770386,-1105.8854771969657,-1239.9204991716347,-1580.9757464105253,34048
133,-1328.396213116942,-1300.5691786185082,-999.1880654995696,-779.2160522759497,-1016.5214227198335,-906.103376544238,34304
134,-1156.241242559445,-996.1143218195749,-1285.4893705558363,-1119.5347841280795,-1676.3457421760281,-1809.0434777590021,34560
135,-1325.3963615978912,-954.0521193134792,-1381.611200936156,-1623.258013392903,-887.7972102417939,-1220.9782426922977,34816
136,-1034.2038234872107,-1411.212700671052,-1319.2655589591836,-978.6276176059474,-1223.192915418619,-966.5497862901973,35072
137,-1270.5290151914353,-1466.257825104831,-1587.9570619599303,-973.9149822923243,-875.2792422265178,-1289.6128687949738,35328
138,-1041.305609186584,-1591.1570252503573,-1004.37480336805,-1019.5653288360568,-1322.7239335843578,-1152.4041978137752,35584
